station_buoy,station_id,station_name,station_type,station_year,wave_instrument
44142,C44142,La_Have_Bank,AE,2002,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44142,C44142,La_Have_Bank,AE,2003,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44142,C44142,La_Have_Bank,AE,2004,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44142,C44142,La_Have_Bank,AE,2005,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44142,C44142,La_Have_Bank,AE,2006,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44150,C44150,Point_Sapin,AE,2003,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44150,C44150,Point_Sapin,AE,2004,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44150,C44150,Point_Sapin,AE,2005,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44150,C44150,Point_Sapin,AE,2006,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44150,C44150,La_Have_Bank,AE,2007,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
44150,C44150,La_Have_Bank,AE,2008,"MSC Non-directional ODAS buoy. (6m NOMAD, 12m Discus, 3m Discus or 1.7m Watchkeeper)"
